OpenFork Discoveries — 2026-08-09
共 300 个仓库（每日上限 300）
条件: 主流语言 · Star 1-20 · 90 天内更新 · 含 README 与许可证 · 非 fork · 非空仓库

79. Japanese-Schoolgirl/DiscordPlugin-CustomPanelForSendingPictures | Plugin/addon/mod for Discord. Adds panel that loads pictures via settings file with used files and links, allowing you to send pictures in chat with or without text by clicking on pictures preview on the panel. Settings file is automatically created on scanning the plugin folder or custom folder (supports subfolders and will show them as sections/groups). | JavaScript | 20 stars | MIT | https://github.com/Japanese-Schoolgirl/DiscordPlugin-CustomPanelForSendingPictures
80. eroxmerox/AmbientGlass | Premium glassmorphism theme for Spicetify with atmospheric glows, floating UI elements, and Apple-style aesthetics. | JavaScript | 20 stars | MIT | https://github.com/eroxmerox/AmbientGlass
81. newrelic/nr1-github | NR1 Github allows you to create more context to your entities by having access to the GitHub repository, contributors and README. | JavaScript | 20 stars | Apache-2.0 | https://github.com/newrelic/nr1-github
82. canisdata/desktop_workspace | A desktop shell for Nextcloud | JavaScript | 20 stars | AGPL-3.0 | https://github.com/canisdata/desktop_workspace
83. the6fallenangel/gnome-baha | Baha | A GNOME Shell extension for displaying live gold, currency, and cryptocurrency rates in your top bar | بها — افزونه گنوم‌شل برای نمایش نرخ لحظه‌ای طلا، ارز و رمزارزها | JavaScript | 20 stars | GPL-3.0 | https://github.com/the6fallenangel/gnome-baha
84. pengutronix/flamingo | python3-based, pelican-inspired static site generator | JavaScript | 20 stars | Apache-2.0 | https://github.com/pengutronix/flamingo
85. axelarnetwork/axelar-contract-deployments | Contract deployment scripts and resources for Axelar | JavaScript | 20 stars | MIT | https://github.com/axelarnetwork/axelar-contract-deployments
86. kgstorm/home-assistant-calorie-tracker | Calorie and weight tracker with Voice Assist support. | JavaScript | 20 stars | MIT | https://github.com/kgstorm/home-assistant-calorie-tracker
87. ariya/chat-llm | Chat with an LLM | JavaScript | 20 stars | MIT | https://github.com/ariya/chat-llm
88. kaermorchen/ember-photoswipe | An Ember addon for using Photoswipe in Ember applications. | JavaScript | 20 stars | MIT | https://github.com/kaermorchen/ember-photoswipe
89. rticommunity/rticonnextdds-connector-js | RTI Connector for Connext DDS is a lightweight technology that enables DDS data to be accessed with JavaScript. | JavaScript | 20 stars | NOASSERTION | https://github.com/rticommunity/rticonnextdds-connector-js
90. d-zero-dev/frontend-guidelines | D-ZERO Frontend Developer's Guideline | JavaScript | 20 stars | NOASSERTION | https://github.com/d-zero-dev/frontend-guidelines
91. e404-tagnet/IOS-Widgets | IOS WIDGETS: fully customisable on color and themes, built with the scriptable app, zero cost and great for beginners! | JavaScript | 20 stars | GPL-3.0 | https://github.com/e404-tagnet/IOS-Widgets
92. italia/design-comuni-plone-theme | Tema Plone per i siti dei comuni italiani | JavaScript | 20 stars | GPL-3.0 | https://github.com/italia/design-comuni-plone-theme
93. yunusemre-dev/yunusemre.dev | A minimal personal website with an AI clone, live operator chat, work history, and a visual life dump. | JavaScript | 20 stars | MIT | https://github.com/yunusemre-dev/yunusemre.dev
94. unb-mds/2025-1-NoFluxoUNB | Fluxograma interativo com chat-bot que auxilia na escolha e visualização da sua estrutura curricular da UnB. | JavaScript | 20 stars | GPL-3.0 | https://github.com/unb-mds/2025-1-NoFluxoUNB
95. ruvnet/CVE-bench | CVE-bench — conformant reproduce-and-fix security benchmark from public CVEs + OSS fix-PRs/tests. Apply-patch -> run the security test (FAIL->PASS). Cost-Pareto leaderboard, PR-based submissions, nightly CI. | JavaScript | 20 stars | MIT | https://github.com/ruvnet/CVE-bench
96. nextcloud/data_request | :man_judge: Nextcloud app to let users request a data export or account removal | JavaScript | 20 stars | AGPL-3.0 | https://github.com/nextcloud/data_request
97. gopalparashar421/lightweight-charts-python | Python framework for TradingView's Lightweight Charts JavaScript library. | JavaScript | 20 stars | MIT | https://github.com/gopalparashar421/lightweight-charts-python
98. yanjun62/operit-jealous-guardian | 🍋 吃醋守护者 — Operit AI 角色定时巡检手机使用，超时吃醋警告、锁应用。工作流模板 + 沙盒包。 | JavaScript | 20 stars | MIT | https://github.com/yanjun62/operit-jealous-guardian
99. ichris007/obsidian-share-showcase | 都是个人使用Obsidian中写的或收集的脚本和样式代码 | JavaScript | 20 stars | MIT | https://github.com/ichris007/obsidian-share-showcase
100. JRGTH/xigmanas-bastille-extension |  | JavaScript | 20 stars | BSD-3-Clause | https://github.com/JRGTH/xigmanas-bastille-extension
101. aodn/aodn-portal | AODN Open Geospatial Portal | JavaScript | 20 stars | GPL-3.0 | https://github.com/aodn/aodn-portal
102. dxviie/HYDRACTRL | Tool built around hydra designed for live performances | JavaScript | 20 stars | AGPL-3.0 | https://github.com/dxviie/HYDRACTRL
103. Funlang/z-data | Z-data is an extremely lightweight zero configuration embedded mini front-end js framework. | JavaScript | 20 stars | MIT | https://github.com/Funlang/z-data
104. jelastic-jps/lets-encrypt | Let’s Encrypt Add-on for Jelastic PaaS | JavaScript | 20 stars | Apache-2.0 | https://github.com/jelastic-jps/lets-encrypt
105. craigbuckler/publican | simple and fast static site generator | JavaScript | 20 stars | MIT | https://github.com/craigbuckler/publican
106. BzGEO/PACE_OCI_Toolkit | Google Earth Engine (GEE) JavaScript-based tools for working with NASA PACE OCI data | JavaScript | 20 stars | MIT | https://github.com/BzGEO/PACE_OCI_Toolkit
107. Kazi-Aidah/color-table-cells | Obsidian Plugin for Coloring table cells via right-click in Reading mode! | JavaScript | 20 stars | MIT | https://github.com/Kazi-Aidah/color-table-cells
108. willjim/RemyMaker | RemyMaker is a tool for 3D Gaussian Splatting effects and camera movement, designed for both desktop and mobile platforms. | JavaScript | 20 stars | MIT | https://github.com/willjim/RemyMaker
109. srp33/CodeBuddy | CodeBuddy: A programming assignment management system for short-form exercises | JavaScript | 20 stars | AGPL-3.0 | https://github.com/srp33/CodeBuddy
110. urqw/UrqW | Free and open source text-based game engine in JavaScript. | JavaScript | 20 stars | CC-BY-SA-4.0 | https://github.com/urqw/UrqW
111. navariltd/Junior-School | Junior School is a custom Frappe application that extends the core Frappe Education. It provides comprehensive tools for scheduling, attendance tracking, assessment management, and automated student lifecycle processes, specifically designed for multi-school environments. | JavaScript | 20 stars | AGPL-3.0 | https://github.com/navariltd/Junior-School
112. valette/desk | DESK exposing server kit : HTML5 solution for remote processing and visualization | JavaScript | 20 stars | NOASSERTION | https://github.com/valette/desk
113. contrastsecurity/contrast | CodeSec by Contrast - The fastest and most accurate SAST scanner. Scan code and serverless environments | JavaScript | 20 stars | MIT | https://github.com/contrastsecurity/contrast
114. sf-cola/select_to_select2 | This is a repository of select to select 2 which is a redmine plugin. | JavaScript | 20 stars | GPL-3.0 | https://github.com/sf-cola/select_to_select2
